Th_cal,frame,B,M,S,Order,Bit_amount,error_count(near),BER_(near),0->1_(near),1->0_(near),bit amount, error_count(far),BER_(far),0->1_(far),1->0_(far)
MinMax,61,179.5,118.5,47,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,17,0.017034068136272545,16,1,998,2,0.002004008016032064,0,2
MinMax,61,182.5,124.5,44.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,17,0.017034068136272545,12,5,998,8,0.008016032064128256,0,8
MinMax,61,186,116.5,49.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,3,5,998,1,0.001002004008016032,0,1
MinMax,61,188.5,116,45.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,4,4,998,0,0,0,0
MinMax,61,187.5,116,45.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,3,7,998,1,0.001002004008016032,1,0
MinMax,61,190,114,49,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,15,0.01503006012024048,2,13,998,3,0.003006012024048096,2,1
MinMax,61,190.5,121,47,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,23,0.023046092184368736,3,20,998,3,0.003006012024048096,0,3
MinMax,61,190,122.5,45.5,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,998,11,0.011022044088176353,6,5,998,4,0.004008016032064128,0,4
MinMax,61,181.5,116,48,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,9,1,998,0,0,0,0
MinMax,61,183.5,120,48,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,7,0.0070140280561122245,4,3,998,1,0.001002004008016032,0,1
MinMax,61,187.5,122.5,43.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,6,3,998,3,0.003006012024048096,0,3
MinMax,61,188,116,49.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,10,0.01002004008016032,3,7,998,2,0.002004008016032064,1,1
MinMax,61,184,110,45.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,15,0.01503006012024048,8,7,998,5,0.00501002004008016,5,0
MinMax,61,187,112,47,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,16,0.01603206412825651,3,13,998,7,0.0070140280561122245,7,0
MinMax,61,187.5,115.5,47.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,8,0.008016032064128256,3,5,998,2,0.002004008016032064,1,1
MinMax,61,181,123,42.5,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,998,14,0.014028056112224449,13,1,998,2,0.002004008016032064,0,2
MinMax,61,178.5,119.5,50,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,17,0.017034068136272545,14,3,998,3,0.003006012024048096,0,3
MinMax,61,189.5,115,49,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,14,0.014028056112224449,4,10,998,2,0.002004008016032064,0,2
MinMax,61,186,116,44,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,14,0.014028056112224449,8,6,998,1,0.001002004008016032,1,0
MinMax,61,186.5,117,44,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,4,8,998,1,0.001002004008016032,1,0
MinMax,61,180,112,49.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,13,0.013026052104208416,8,5,998,4,0.004008016032064128,3,1
MinMax,61,181.5,115.5,49.5,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,998,11,0.011022044088176353,8,3,998,2,0.002004008016032064,2,0
MinMax,61,177.5,119.5,49,HFNL,142,3,0.02112676056338028,2,1,142,0,0,0,0
,,,,,,998,11,0.011022044088176353,9,2,998,4,0.004008016032064128,1,3
MinMax,61,184,112.5,48,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,998,12,0.012024048096192385,6,6,998,2,0.002004008016032064,2,0
MinMax,61,186,112.5,47,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,2,7,998,2,0.002004008016032064,2,0
MinMax,61,178.5,117.5,53,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,18,0.018036072144288578,13,5,998,3,0.003006012024048096,1,2
MinMax,61,179,115.5,45,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,17,0.017034068136272545,13,4,998,3,0.003006012024048096,2,1
MinMax,61,181,120.5,45,HFNL,142,1,0.007042253521126761,1,0,142,0,0,0,0
,,,,,,998,17,0.017034068136272545,14,3,998,3,0.003006012024048096,0,3
MinMax,61,190,115,46.5,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,998,11,0.011022044088176353,0,11,998,3,0.003006012024048096,3,0
MinMax,61,184.5,119.5,44.5,HFNL,142,2,0.014084507042253521,1,1,142,0,0,0,0
,,,,,,998,6,0.006012024048096192,4,2,998,0,0,0,0
MinMax,61,188,114.5,48.5,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,9,0.009018036072144289,3,6,998,2,0.002004008016032064,2,0
MinMax,61,179.5,112,47.5,HFNL,142,3,0.02112676056338028,1,2,142,1,0.007042253521126761,1,0
,,,,,,998,18,0.018036072144288578,11,7,998,2,0.002004008016032064,2,0
MinMax,61,188,122,47.5,HFNL,142,1,0.007042253521126761,0,1,142,1,0.007042253521126761,1,0
,,,,,,998,15,0.01503006012024048,8,7,998,7,0.0070140280561122245,1,6
MinMax,61,187,121.5,48,HFNL,142,3,0.02112676056338028,1,2,142,0,0,0,0
,,,,,,998,14,0.014028056112224449,6,8,998,4,0.004008016032064128,0,4
MinMax,61,185.5,114,49,HFNL,142,0,0,0,0,142,0,0,0,0
,,,,,,998,5,0.00501002004008016,4,1,998,0,0,0,0
